day,working_hours
2023-03-01,40.46153846153846
2023-03-02,31.692307692307693
2023-03-03,33.69230769230769
2023-03-06,33.46153846153846
2023-03-07,38.84615384615385
2023-03-08,35.53846153846154
2023-03-09,36.61538461538461
2023-03-10,32.23076923076923
2023-03-13,30.923076923076923
2023-03-14,42.0
2023-03-15,36.76923076923077
2023-03-16,35.46153846153846
2023-03-17,38.92307692307692
2023-03-20,37.46153846153846
2023-03-21,41.0
2023-03-22,41.46153846153846
2023-03-23,41.15384615384615
2023-03-24,41.15384615384615
2023-03-27,30.53846153846154
2023-03-28,44.07692307692308
2023-03-29,33.38461538461539
2023-03-30,35.92307692307692
2023-03-31,30.846153846153847
2023-04-03,30.923076923076923
2023-04-04,39.76923076923077
2023-04-05,36.30769230769231
2023-04-06,36.46153846153846
2023-04-07,29.53846153846154
2023-04-10,31.53846153846154
2023-04-11,33.07692307692308
2023-04-12,36.0
2023-04-13,36.69230769230769
2023-04-14,36.15384615384615
2023-04-17,32.53846153846154
2023-04-18,45.46153846153846
2023-04-19,35.92307692307692
2023-04-20,39.46153846153846
2023-04-21,36.23076923076923
2023-04-24,34.23076923076923
2023-04-26,42.84615384615385
2023-04-27,40.53846153846154
2023-04-28,35.76923076923077
2023-05-02,38.0
2023-05-03,44.15384615384615
2023-05-04,39.15384615384615
2023-05-05,40.46153846153846
